Date,Volume,成交金額,Open,High,Low,Close,漲跌價差,成交筆數
2018-06-29,15029466,"1,148,107,740",74.6,77.4,74.5,77.4,2.4,"5,382"
2018-07-02,8285751,"638,792,012",76.9,77.7,76.8,76.9,-0.5,"3,227"
2018-07-03,8395636,"644,131,670",76.8,77.5,76.3,76.6,-0.3,"3,579"
2018-07-04,4414282,"340,954,814",76.9,78.0,76.8,77.1,0.5,"2,066"
2018-07-05,6035174,"464,055,298",77.5,77.5,76.4,77.0,-0.1,"2,533"
2018-07-06,10562157,"820,546,086",77.5,78.3,76.7,78.0,1.0,"5,357"
2018-07-09,6637614,"522,347,071",78.8,79.2,78.2,78.8,0.8,"3,409"
2018-07-10,8199417,"653,079,350",79.5,80.0,78.8,79.7,0.9,"4,288"
2018-07-11,7013302,"560,736,560",79.6,80.4,79.1,80.1,0.4,"4,276"
2018-07-12,8261853,"657,929,651",79.7,80.0,79.0,79.5,-0.6,"4,141"
2018-07-13,6953605,"551,064,328",80.0,80.0,78.8,79.3,-0.2,"3,749"
2018-07-16,3786029,"299,791,991",79.0,79.7,79.0,79.0,-0.3,"2,334"
2018-07-17,15943099,"1,268,475,720",79.0,80.3,78.6,79.4,0.4,"5,079"
2018-07-18,15988972,"1,312,789,654",80.0,83.8,79.7,82.4,3.0,"7,501"
2018-07-19,17194932,"1,413,544,606",82.1,83.0,81.8,82.1,-0.3,"5,992"
2018-07-20,15115885,"1,231,311,885",82.7,82.7,80.7,80.8,-1.3,"5,688"
2018-07-23,13831254,"1,108,784,646",80.4,80.7,79.8,80.1,-0.7,"5,897"
2018-07-24,11745523,"944,099,007",80.7,80.8,80.1,80.6,0.5,"4,245"
2018-07-25,12758857,"1,025,163,641",81.0,81.8,79.6,79.8,-0.8,"5,768"
2018-07-26,11240948,"907,763,089",80.5,81.6,80.2,80.7,0.9,"5,067"
2018-07-27,11151394,"897,614,294",80.9,80.9,80.2,80.7,0.0,"4,287"
2018-07-30,9564373,"775,607,142",81.3,81.5,80.7,80.7,0.0,"4,150"
2018-07-31,19223720,"1,547,322,028",80.7,81.0,79.8,80.8,0.1,"6,122"
2018-08-01,33999841,"2,671,748,644",78.0,79.7,78.0,78.8,-2.00,"12,625"
2018-08-02,26595904,"1,964,929,828",73.5,74.8,73.5,73.9,X0.00,"9,786"
2018-08-03,8105187,"604,032,115",74.1,74.8,74.1,74.6,+0.70,"4,136"
2018-08-06,5430057,"404,141,222",75.0,75.0,74.0,74.2,-0.40,"2,934"
2018-08-07,7304678,"538,949,172",74.2,74.7,73.4,73.4,-0.80,"4,272"
2018-08-08,14334913,"1,044,232,823",73.6,74.0,72.1,72.2,-1.20,"8,260"
2018-08-09,15983427,"1,135,286,892",72.2,72.2,70.6,71.0,-1.20,"6,696"
2018-08-10,10678635,"774,473,485",71.1,72.9,71.1,72.7,+1.70,"5,798"
2018-08-13,8594717,"623,470,767",73.1,73.2,71.4,72.2,-0.50,"4,777"
2018-08-14,19276534,"1,440,497,750",74.0,75.5,73.5,75.0,+2.80,"8,641"
2018-08-15,10438716,"784,202,000",75.0,75.8,74.6,74.8,-0.20,"4,624"
2018-08-16,9668036,"725,591,450",74.8,75.5,74.8,75.1,+0.30,"3,730"
2018-08-17,14473161,"1,107,679,509",75.8,77.0,75.8,77.0,+1.90,"6,646"
2018-08-20,11745419,"890,247,889",77.1,77.5,74.8,75.4,-1.60,"5,548"
2018-08-21,5465180,"415,408,174",75.8,76.4,75.6,76.2,+0.80,"3,700"
2018-08-22,7887136,"603,116,842",76.9,76.9,76.0,76.3,+0.10,"3,479"
2018-08-23,11362908,"879,230,308",77.0,78.0,76.8,78.0,+1.70,"6,359"
2018-08-24,9691235,"751,213,628",78.1,78.2,77.0,77.7,-0.30,"5,299"
2018-08-27,9775532,"761,241,267",78.0,78.5,77.3,77.9,+0.20,"4,594"
2018-08-28,8064482,"631,175,515",78.2,78.8,77.9,78.8,+0.90,"4,047"
2018-08-29,12463572,"972,870,354",78.9,79.2,77.3,77.5,-1.30,"5,144"
2018-08-30,7663581,"589,619,823",77.2,77.8,76.5,77.2,-0.30,"4,465"
2018-08-31,7341477,"567,571,153",77.2,77.6,76.7,77.6,+0.40,"2,874"
2018-09-03,3207060,"244,815,033",77.3,77.3,76.0,76.2,-1.4,"2,599"
2018-09-04,3722784,"284,105,809",76.3,76.9,76.0,76.6,0.4,"2,451"
2018-09-05,6599998,"497,483,229",76.1,76.4,75.0,75.0,-1.6,"3,532"
2018-09-06,6976408,"527,188,285",74.9,76.4,74.2,75.5,0.5,"3,896"
2018-09-07,6928171,"519,125,236",74.9,75.4,74.6,74.8,-0.7,"3,635"
2018-09-10,6173590,"464,831,639",76.0,76.0,74.7,75.7,0.9,"3,803"
2018-09-11,5859705,"446,517,270",76.0,76.8,75.5,76.8,1.1,"3,147"
2018-09-12,6068730,"461,369,436",77.0,77.0,75.4,76.4,-0.4,"3,499"
2018-09-13,6554045,"492,936,735",75.8,75.8,75.0,75.0,-1.4,"3,863"
2018-09-14,8072175,"609,209,233",75.4,75.9,75.2,75.4,0.4,"3,648"
2018-09-17,4141046,"313,604,349",76.1,76.2,75.4,75.6,0.2,"2,572"
2018-09-18,14386596,"1,117,848,868",76.3,78.4,75.9,78.4,2.8,"7,685"
2018-09-19,9583366,"750,955,925",78.5,79.0,77.5,79.0,0.6,"5,063"
2018-09-20,5877299,"456,879,332",77.6,78.2,77.2,77.7,-1.3,"3,420"
2018-09-21,11275019,"883,440,582",78.1,78.8,78.0,78.1,0.4,"4,577"
2018-09-25,7962145,"630,420,090",80.0,80.0,78.5,79.1,1.0,"4,233"
2018-09-26,8336350,"661,464,161",78.6,79.9,78.3,79.8,0.7,"4,002"
2018-09-27,6853575,"544,455,159",79.9,80.0,78.8,79.3,-0.5,"3,525"
2018-09-28,6285501,"499,328,313",78.9,79.8,78.7,79.7,0.4,"2,591"
2018-10-01,3764570,"298,351,230",80.0,80.0,78.8,78.9,-0.8,"2,627"
2018-10-02,5540960,"429,963,571",78.5,78.6,77.1,77.5,-1.4,"3,005"
2018-10-03,2946458,"229,992,116",77.9,78.4,77.8,78.3,0.8,"1,686"
2018-10-04,11410393,"868,677,808",77.5,77.9,75.4,75.4,-2.9,"5,952"
2018-10-05,8466937,"638,640,212",75.0,76.4,75.0,75.3,-0.1,"4,184"
2018-10-08,5096602,"383,872,022",75.5,75.6,75.0,75.5,0.2,"2,328"
2018-10-09,6549038,"494,247,559",75.6,75.8,75.3,75.3,-0.2,"3,738"
2018-10-11,27095451,"1,917,327,821",72.2,73.1,69.7,70.2,-5.1,"12,032"
2018-10-12,11788184,"843,610,306",69.7,72.9,69.7,72.9,2.7,"5,816"
2018-10-15,10655730,"763,449,252",71.2,72.9,70.6,72.8,-0.1,"4,496"
2018-10-16,7481137,"546,808,445",72.6,74.2,72.0,73.3,0.5,"4,288"
2018-10-17,7481889,"551,478,095",73.8,74.4,73.0,73.5,0.2,"4,112"
